Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014116,1966,02,04,22.3,1,Y
IDCJAC0011,014116,1966,02,05,,,
IDCJAC0011,014116,1966,02,06,,,
IDCJAC0011,014116,1966,02,07,22.8,1,Y
IDCJAC0011,014116,1966,02,08,24.4,1,Y
IDCJAC0011,014116,1966,02,09,24.3,1,Y
IDCJAC0011,014116,1966,02,10,22.8,1,Y
IDCJAC0011,014116,1966,02,11,23.6,1,Y
IDCJAC0011,014116,1966,02,12,,,
IDCJAC0011,014116,1966,02,13,,,
IDCJAC0011,014116,1966,02,14,23.4,1,Y
IDCJAC0011,014116,1966,02,15,24.7,1,Y
IDCJAC0011,014116,1966,02,16,25.0,1,Y
IDCJAC0011,014116,1966,02,17,24.4,1,Y
IDCJAC0011,014116,1966,02,18,23.6,1,Y
IDCJAC0011,014116,1966,02,19,,,
IDCJAC0011,014116,1966,02,20,,,
IDCJAC0011,014116,1966,02,21,23.8,1,Y
IDCJAC0011,014116,1966,02,22,24.7,1,Y
IDCJAC0011,014116,1966,02,23,22.8,1,Y
IDCJAC0011,014116,1966,02,24,23.1,1,Y
IDCJAC0011,014116,1966,02,25,23.2,1,Y
IDCJAC0011,014116,1966,02,26,,,
IDCJAC0011,014116,1966,02,27,,,
IDCJAC0011,014116,1966,02,28,23.1,1,Y
